# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 0 15 180 230 0 55 90
# goal = joints(deg) 0 15 180 234 0 59 90
# duration_s = 10
# timesteps = 10
# final_error = 5.845072818e-05
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 0.015012273 2.352699058e-09 -0.04904647973 (norm 0.05129254833)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0.079,-9.814028577e-06,14.99999909,180.0000118,-129.9992551,1.374732175e-06,55.00074418,89.99999603,-0.0002477915509,-2.294269522e-05,0.0002988807101,0.01880821727,3.471021254e-05,0.01878966219,-0.0001001518906
0.08,-1.006337582e-05,14.99999907,180.0000121,-129.9992362,1.409660306e-06,55.00076309,89.99999593,-0.0002509028205,-2.323076359e-05,0.0003026334549,0.01904437316,3.514603381e-05,0.0190255851,-0.0001014093973
0.081,-1.031583401e-05,14.99999904,180.0000124,-129.999217,1.445024213e-06,55.00078223,89.99999583,-0.0002540134578,-2.351877342e-05,0.0003063854371,0.01928048105,3.558176651e-05,0.01926146007,-0.0001026666484
0.082,-1.057140252e-05,14.99999902,180.0000128,-129.9991976,1.480823809e-06,55.00080161,89.99999573,-0.0002571234627,-2.380672471e-05,0.0003101366566,0.01951654096,3.601741063e-05,0.01949728709,-0.000103923644
0.083,-1.083008072e-05,14.999999,180.0000131,-129.999178,1.517059005e-06,55.00082123,89.99999562,-0.0002602328354,-2.409461745e-05,0.0003138871134,0.01975255286,3.645296619e-05,0.01973306616,-0.000105180384
0.084,-1.109186798e-05,14.99999897,180.0000134,-129.9991581,1.553729712e-06,55.00084108,89.99999552,-0.0002633415758,-2.438245165e-05,0.0003176368075,0.01998851678,3.688843317e-05,0.01996879728,-0.0001064368684
0.085,-1.135676366e-05,14.99999895,180.0000137,-129.999138,1.590835842e-06,55.00086117,89.99999541,-0.0002664496838,-2.467022731e-05,0.000321385739,0.0202244327,3.732381157e-05,0.02020448046,-0.0001076930972
0.086,-1.162476714e-05,14.99999892,180.000014,-129.9991176,1.628377306e-06,55.00088149,89.9999953,-0.0002695571595,-2.495794442e-05,0.0003251339078,0.02046030062,3.775910141e-05,0.02044011569,-0.0001089490705
0.087,-1.189587777e-05,14.9999989,180.0000143,-129.9990971,1.666354015e-06,55.00090205,89.99999519,-0.000272664003,-2.524560298e-05,0.0003288813139,0.02069612055,3.819430267e-05,0.02067570298,-0.0001102047883
0.088,-1.217009493e-05,14.99999887,180.0000147,-129.9990762,1.704765881e-06,55.00092284,89.99999508,-0.0002757702141,-2.5533203e-05,0.0003326279573,0.02093189249,3.862941536e-05,0.02091124231,-0.0001114602504
0.089,-1.244741799e-05,14.99999885,180.000015,-129.9990552,1.743612816e-06,55.00094387,89.99999497,-0.0002788757929,-2.582074448e-05,0.0003363738381,0.02116761643,3.906443948e-05,0.0211467337,-0.000112715457
0.09,-1.272784631e-05,14.99999882,180.0000154,-129.9990339,1.782894731e-06,55.00096513,89.99999486,-0.0002819807394,-2.610822741e-05,0.0003401189562,0.02140329238,3.949937503e-05,0.02138217715,-0.0001139704081
0.091,-1.301137926e-05,14.9999988,180.0000157,-129.9990124,1.822611537e-06,55.00098663,89.99999474,-0.0002850850536,-2.63956518e-05,0.0003438633116,0.02163892033,3.9934222e-05,0.02161757264,-0.0001152251035
0.092,-1.32980162e-05,14.99999877,180.000016,-129.9989906,1.862763145e-06,55.00100837,89.99999463,-0.0002881887355,-2.668301764e-05,0.0003476069043,0.02187450029,4.03689804e-05,0.02185292019,-0.0001164795434
0.093,-1.358775652e-05,14.99999874,180.0000164,-129.9989686,1.903349468e-06,55.00103034,89.99999451,-0.0002912917851,-2.697032494e-05,0.0003513497344,0.02211003225,4.080365023e-05,0.0220882198,-0.0001177337278
0.094,-1.388059956e-05,14.99999871,180.0000167,-129.9989464,1.944370416e-06,55.00105255,89.99999439,-0.0002943942024,-2.725757369e-05,0.0003550918017,0.02234551623,4.123823148e-05,0.02232347145,-0.0001189876566
0.095,-1.417654471e-05,14.99999869,180.0000171,-129.998924,1.985825902e-06,55.00107499,89.99999427,-0.0002974959874,-2.75447639e-05,0.0003588331064,0.0225809522,4.167272416e-05,0.02255867516,-0.0001202413298
0.096,-1.447559133e-05,14.99999866,180.0000175,-129.9989013,2.027715835e-06,55.00109766,89.99999415,-0.00030059714,-2.783189556e-05,0.0003625736485,0.02281634018,4.210712827e-05,0.02279383092,-0.0001214947474
0.097,-1.477773878e-05,14.99999863,180.0000178,-129.9988783,2.070040129e-06,55.00112057,89.99999403,-0.0003036976604,-2.811896868e-05,0.0003663134278,0.02305168017,4.254144381e-05,0.02302893874,-0.0001227479095
0.098,-1.508298644e-05,14.9999986,180.0000182,-129.9988552,2.112798693e-06,55.00114372,89.9999939,-0.0003067975484,-2.840598326e-05,0.0003700524445,0.02328697216,4.297567078e-05,0.02326399861,-0.000124000816
0.099,-1.539133367e-05,14.99999857,180.0000186,-129.9988317,2.155991441e-06,55.0011671,89.99999378,-0.0003098968042,-2.869293929e-05,0.0003737906985,0.02352221616,4.340980917e-05,0.02349901053,-0.000125253467
0.1,-1.570277983e-05,14.99999855,180.0000189,-129.9988081,2.199618282e-06,55.00119072,89.99999365,-0.0003129954276,-2.897983678e-05,0.0003775281898,0.02375741217,4.384385899e-05,0.0237339745,-0.0001265058624
0.101,-1.601732431e-05,14.99999852,180.0000193,-129.9987842,2.243679129e-06,55.00121457,89.99999353,-0.0003160934188,-2.926667572e-05,0.0003812649185,0.02399256018,4.427782024e-05,0.02396889053,-0.0001277580022
0.102,-1.633496646e-05,14.99999849,180.0000197,-129.9987601,2.288173893e-06,55.00123866,89.9999934,-0.0003191907776,-2.955345611e-05,0.0003850008845,0.02422766019,4.471169291e-05,0.02420375861,-0.0001290098864
0.103,-1.665570565e-05,14.99999846,180.0000201,-129.9987358,2.333102485e-06,55.00126298,89.99999327,-0.0003222875041,-2.984017797e-05,0.0003887360878,0.02446271222,4.514547701e-05,0.02443857874,-0.0001302615151
0.104,-1.697954126e-05,14.99999843,180.0000205,-129.9987112,2.378464817e-06,55.00128753,89.99999314,-0.0003253835983,-3.012684127e-05,0.0003924705284,0.02469771624,4.557917254e-05,0.02467335093,-0.0001315128883
0.105,-1.730647264e-05,14.9999984,180.0000209,-129.9986864,2.424260801e-06,55.00131232,89.99999301,-0.0003284790602,-3.041344604e-05,0.0003962042063,0.02493267228,4.60127795e-05,0.02490807517,-0.0001327640058
0.106,-1.763649917e-05,14.99999837,180.0000213,-129.9986613,2.470490347e-06,55.00133735,89.99999287,-0.0003315738898,-3.069999226e-05,0.0003999371216,0.02516758032,4.644629788e-05,0.02514275146,-0.0001340148678
0.107,-1.796962021e-05,14.99999834,180.0000217,-129.998636,2.517153367e-06,55.00136261,89.99999274,-0.0003346680871,-3.098647993e-05,0.0004036692742,0.02540244036,4.68797277e-05,0.02537737981,-0.0001352654743
0.108,-1.830583513e-05,14.99999831,180.0000221,-129.9986105,2.564249773e-06,55.0013881,89.9999926,-0.000337761652,-3.127290906e-05,0.0004074006642,0.02563725241,4.731306894e-05,0.02561196021,-0.0001365158251
0.109,-1.86451433e-05,14.99999827,180.0000225,-129.9985848,2.611779475e-06,55.00141383,89.99999246,-0.0003408545847,-3.155927965e-05,0.0004111312914,0.02587201647,4.77463216e-05,0.02584649266,-0.0001377659204
